Rank,Name,Initial,Year GDP
1,1,USA,174276.0
2,2,CHN,105345.3
3,3,JPN,48487.3
4,4,DEU,38967.9
5,5,GBR,30023.9
6,6,FRA,28538.3
7,7,BRA,24560.5
8,8,ITA,21551.5
9,9,RUS,20636.6
10,10,IND,20353.9
11,11,CAN,17928.8
12,12,AUS,14495.2
13,13,KOR,14113.3
14,14,ESP,13780.4
15,15,MEX,12984.7
16,16,TUR,9340.75
17,17,IDN,8910.51
18,18,NLD,8810.33
19,19,SAU,7563.5
20,20,CHE,7092.59
21,21,SWE,5738.18
22,22,NGA,5684.96
23,23,ARG,5636.14
24,24,POL,5450.53
25,25,BEL,5325.96
26,26,TWN,5305.15
27,27,NOR,4983.4
28,28,AUT,4390.73
29,29,IRN,4234.09
30,30,THA,4065.21
31,31,ARE,4031.98
32,32,COL,3783.23
33,33,DNK,3522.97
34,34,ZAF,3511.16
35,35,MYS,3380.66
36,36,ISR,3084.15
37,37,SGP,3081.55
38,38,EGY,3055.67
39,39,HKG,2914.63
40,40,PHL,2845.85
41,41,FIN,2730.42
42,42,CHL,2609.54
43,43,IRL,2580.41
44,44,PAK,2443.61
45,45,GRC,2364.55
46,46,IRQ,2346.51
47,47,PRT,2299.95
48,48,KAZ,2214.16
49,49,DZA,2138.1
50,50,VEN,2123.47
