Rank,Name,Initial,Year GDP,Holiday Count,Long Week days
1,United States,US,193621.3,11,35
2,China,CN,122427.76,7,7
3,Japan,JP,48844.9,14,32
4,Germany,DE,36518.7,17,39
5,France,FR,25748.1,15,33
6,United Kingdom,GB,25650.5,15,33
7,India,IN,24390.1,0,0
8,Brazil,BR,20809.2,12,32
9,Italy,IT,19211.4,12,27
10,Canada,CA,16403.9,29,34
11,South Korea,KR,15297.4,0,0
12,Russia,RU,14693.4,13,25
13,Australia,AU,13901.5,20,39
14,Spain,ES,13071.7,35,59
15,Mexico,MX,11424.5,7,21
16,Indonesia,ID,10109.4,8,20
17,Turkey,TR,8412.06,7,6
18,Netherlands,NL,8244.8,10,24
19,Switzerland,CH,6806.45,17,43
20,Saudi Arabia,SA,6785.41,0,0
21,Argentina,AR,6198.72,16,36
22,Taiwan,TW,5714.53,0,0
23,Sweden,SE,5418.89,16,27
24,Poland,PL,5099.55,13,21
25,Belgium,BE,4916.72,11,23
26,Thailand,TH,4378.07,0,0
27,Iran,IR,4276.66,0,0
28,Austria,AT,4093.16,13,35
29,Nigeria,NG,3948.18,0,0
30,Norway,NO,3920.52,12,24
31,United Arab Emirates,AE,3786.56,0,0
32,Israel,IL,3480.06,0,0
33,South Africa,ZA,3440.64,12,24
34,Hong Kong,HK,3341.04,0,0
35,Ireland,IE,3256.49,9,22
36,Denmark,DK,3241.46,15,27
37,Philippines,PH,3211.89,0,0
38,Malaysia,MY,3098.58,0,0
39,Colombia,CO,3074.75,20,53
40,Singapore,SG,3057.57,0,0
41,Chile,CL,2632.06,22,43
42,Finland,FI,2514.81,15,23
43,Bangladesh,BD,2500.23,0,0
44,Vietnam,VN,2159.63,4,3
45,Venezuela,VE,2153.07,38,56
46,Portugal,PT,2116.96,17,40
47,Peru,PE,2100.13,13,23
48,Czech Republic,CZ,2096.52,13,27
49,Greece,GR,2042.99,15,26
50,New Zealand,NZ,2008.37,10,26
