,date,localName,name
0,2014-01-01,Neujahr,New Year's Day
1,2014-01-06,Heilige Drei Könige,Epiphany
2,2014-04-21,Ostermontag,Easter Monday
3,2014-05-01,Staatsfeiertag,National Holiday
4,2014-05-29,Christi Himmelfahrt,Ascension Day
5,2014-06-09,Pfingstmontag,Whit Monday
6,2014-06-19,Fronleichnam,Corpus Christi
7,2014-08-15,Maria Himmelfahrt,Assumption Day
8,2014-10-26,Nationalfeiertag,National Holiday
9,2014-11-01,Allerheiligen,All Saints' Day
10,2014-12-08,Mariä Empfängnis,Immaculate Conception
11,2014-12-25,Weihnachten,Christmas Day
12,2014-12-26,Stefanitag,St. Stephen's Day
