,date,localName,name
0,2014-01-01,New Year's Day,New Year's Day
1,2014-01-26,Australia Day,Australia Day
2,2014-03-03,Labour Day,Labour Day
3,2014-03-10,Canberra Day,Canberra Day
4,2014-03-10,March Public Holiday,March Public Holiday
5,2014-03-10,Eight Hours Day,Eight Hours Day
6,2014-03-10,Labour Day,Labour Day
7,2014-04-18,Good Friday,Good Friday
8,2014-04-19,Easter Eve,Holy Saturday
9,2014-04-20,Easter Sunday,Easter Sunday
10,2014-04-21,Easter Monday,Easter Monday
11,2014-04-25,Anzac Day,Anzac Day
12,2014-05-05,May Day,May Day
13,2014-05-05,Labour Day,Labour Day
14,2014-06-02,Western Australia Day,Western Australia Day
15,2014-06-09,Queen's Birthday,Queen's Birthday
16,2014-08-04,Picnic Day,Picnic Day
17,2014-10-06,Labour Day,Labour Day
18,2014-12-25,Christmas Day,Christmas Day
19,2014-12-26,Boxing Day,St. Stephen's Day
