,date,localName,name
0,2014-01-01,Confraternização Universal,New Year's Day
1,2014-03-04,Carnaval,Carnival
2,2014-04-18,Sexta feira Santa,Passion of Jesus
3,2014-04-20,Domingo de Pascoa,Easter Day
4,2014-04-21,Dia de Tiradentes,Tiradentes
5,2014-05-01,Dia do Trabalhador,Labour Day
6,2014-06-19,Corpus Christi,Corpus Christi
7,2014-09-07,Dia da Independência,Independence Day
8,2014-10-12,Nossa Senhora Aparecida,Children's Day
9,2014-11-02,Dia de Finados,Day of the Dead
10,2014-11-15,Proclamação da República,Republic Proclamation Day
11,2014-12-25,Natal,Christmas Day
