,date,localName,name
0,2014-01-01,New Year's Day,New Year's Day
1,2014-02-10,Family Day,Family Day
2,2014-02-17,Louis Riel Day,Louis Riel Day
3,2014-02-17,Islander Day,Islander Day
4,2014-02-17,Family Day,Family Day
5,2014-02-17,Heritage Day,Heritage Day
6,2014-03-17,Saint Patrick's Day,Saint Patrick's Day
7,2014-04-18,Good Friday,Good Friday
8,2014-04-21,Easter Monday,Easter Monday
9,2014-04-23,Saint George's Day,Saint George's Day
10,2014-05-19,National Patriots' Day,National Patriots' Day
11,2014-05-19,Victoria Day,Victoria Day
12,2014-06-21,National Aboriginal Day,National Aboriginal Day
13,2014-06-24,Discovery Day,Discovery Day
14,2014-06-24,Fête nationale du Québec,National Holiday
15,2014-07-01,Canada Day,Canada Day
16,2014-07-12,Orangemen's Day,Orangemen's Day
17,2014-08-04,Civic Holiday,Civic Holiday
18,2014-08-04,Heritage Day,Heritage Day
19,2014-08-04,New Brunswick Day,New Brunswick Day
20,2014-08-04,Natal Day,Natal Day
21,2014-08-18,Gold Cup Parade Day,Gold Cup Parade Day
22,2014-08-18,Discovery Day,Discovery Day
23,2014-09-01,Labour Day,Labour Day
24,2014-10-13,Thanksgiving,Thanksgiving
25,2014-11-11,Armistice Day,Armistice Day
26,2014-11-11,Remembrance Day,Remembrance Day
27,2014-12-25,Christmas Day,Christmas Day
28,2014-12-26,St. Stephen's Day,St. Stephen's Day
