,date,localName,name
0,2015-01-01,Año Nuevo,New Year's Day
1,2015-01-06,Día de los Reyes Magos,Epiphany
2,2015-02-16,Carnival,Carnival
3,2015-02-17,Carnival,Carnival
4,2015-03-19,Día de San José,Saint Joseph's Day
5,2015-04-02,Jueves Santo,Maundy Thursday
6,2015-04-03,Viernes Santo,Good Friday
7,2015-05-01,Primero de Mayo,Labour Day
8,2015-05-14,Ascensión del señor,Ascension Day
9,2015-06-04,Corpus Christi,Corpus Christi
10,2015-06-12,Sagrado Corazón,Sacred Heart
11,2015-06-29,San Pedro y San Pablo,Saint Peter and Saint Paul
12,2015-07-20,Declaracion de la Independencia de Colombia,Declaration of Independence
13,2015-08-07,Battle of Boyacá,Battle of Boyacá
14,2015-08-15,La Asunción,Assumption of Mary
15,2015-10-12,Día de la Raza,Columbus Day
16,2015-11-01,Dia de los Santos,All Saints’ Day
17,2015-11-11,Independencia de Cartagena,Independence of Cartagena
18,2015-12-08,La Inmaculada Concepción,Immaculate Conception
19,2015-12-25,Navidad,Christmas Day
