,date,localName,name
0,2015-01-01,Neujahr,New Year's Day
1,2015-01-06,Heilige Drei Könige,Epiphany
2,2015-03-08,Internationaler Frauentag,International Women's Day
3,2015-04-03,Karfreitag,Good Friday
4,2015-04-06,Ostermontag,Easter Monday
5,2015-05-01,Tag der Arbeit,Labour Day
6,2015-05-14,Christi Himmelfahrt,Ascension Day
7,2015-05-25,Pfingstmontag,Whit Monday
8,2015-06-04,Fronleichnam,Corpus Christi
9,2015-08-15,Mariä Himmelfahrt,Assumption Day
10,2015-09-20,Weltkindertag,World Children's Day
11,2015-10-03,Tag der Deutschen Einheit,German Unity Day
12,2015-10-31,Reformationstag,Reformation Day
13,2015-11-01,Allerheiligen,All Saints' Day
14,2015-11-18,Buß- und Bettag,Repentance and Prayer Day
15,2015-12-25,Erster Weihnachtstag,Christmas Day
16,2015-12-26,Zweiter Weihnachtstag,St. Stephen's Day
