,date,localName,name
0,2015-01-01,Uudenvuodenpäivä,New Year's Day
1,2015-01-06,Loppiainen,Epiphany
2,2015-04-03,Pitkäperjantai,Good Friday
3,2015-04-05,Pääsiäispäivä,Easter Sunday
4,2015-04-06,2. pääsiäispäivä,Easter Monday
5,2015-05-01,Vappu,May Day
6,2015-05-14,Helatorstai,Ascension Day
7,2015-05-24,Helluntaipäivä,Pentecost
8,2015-06-19,Juhannusaatto,Midsummer Eve
9,2015-06-20,Juhannuspäivä,Midsummer Day
10,2015-10-31,Pyhäinpäivä,All Saints' Day
11,2015-12-06,Itsenäisyyspäivä,Independence Day
12,2015-12-24,Jouluaatto,Christmas Eve
13,2015-12-25,Joulupäivä,Christmas Day
14,2015-12-26,2. joulupäivä,St. Stephen's Day
