,date,localName,name
0,2015-01-01,Capodanno,New Year's Day
1,2015-01-06,Epifania,Epiphany
2,2015-04-05,Pasqua,Easter Sunday
3,2015-04-06,Lunedì dell'Angelo,Easter Monday
4,2015-04-25,Festa della Liberazione,Liberation Day
5,2015-05-01,Festa del Lavoro,International Workers Day
6,2015-06-02,Festa della Repubblica,Republic Day
7,2015-08-15,Ferragosto o Assunzione,Assumption Day
8,2015-11-01,Tutti i santi,All Saints Day
9,2015-12-08,Immacolata Concezione,Immaculate Conception
10,2015-12-25,Natale,Christmas Day
11,2015-12-26,Santo Stefano,St. Stephen's Day
