,date,localName,name
0,2015-01-01,Nowy Rok,New Year's Day
1,2015-01-06,Święto Trzech Króli,Epiphany
2,2015-04-05,Wielkanoc,Easter Day
3,2015-04-06,Drugi Dzień Wielkanocy,Easter Monday
4,2015-05-01,Święto Pracy,May Day
5,2015-05-03,Święto Narodowe Trzeciego Maja,Constitution Day
6,2015-05-24,Zielone Świątki,Pentecost Sunday
7,2015-06-04,Boże Ciało,Corpus Christi
8,2015-08-15,Wniebowzięcie Najświętszej Maryi Panny,Assumption Day
9,2015-11-01,Wszystkich Świętych,All Saints' Day
10,2015-11-11,Narodowe Święto Niepodległości,Independence Day
11,2015-12-25,Boże Narodzenie,Christmas Day
12,2015-12-26,Drugi Dzień Bożego Narodzenia,St. Stephen's Day
