,date,localName,name
0,2015-01-01,Nyårsdagen,New Year's Day
1,2015-01-06,Trettondedag jul,Epiphany
2,2015-04-03,Långfredagen,Good Friday
3,2015-04-05,Påskdagen,Easter Sunday
4,2015-04-06,Annandag påsk,Easter Monday
5,2015-05-01,Första maj,International Workers' Day
6,2015-05-14,Kristi himmelsfärds dag,Ascension Day
7,2015-05-24,Pingstdagen,Pentecost Sunday
8,2015-06-06,Sveriges nationaldag,National Day of Sweden
9,2015-06-19,Midsommarafton,Midsummer Eve
10,2015-06-20,Midsommar,Midsummer Day
11,2015-10-31,Alla helgons dag,All Saints' Day
12,2015-12-24,Julafton,Christmas Eve
13,2015-12-25,Juldagen,Christmas Day
14,2015-12-26,Annandag jul,St. Stephen's Day
15,2015-12-31,Nyårsafton,New Year's Eve
