,date,localName,name
0,2015-01-01,New Year's Day,New Year's Day
1,2015-03-21,Human Rights Day,Human Rights Day
2,2015-04-03,Good Friday,Good Friday
3,2015-04-06,Family Day,Family Day
4,2015-04-27,Freedom Day,Freedom Day
5,2015-05-01,Workers' Day,Workers' Day
6,2015-06-16,Youth Day,Youth Day
7,2015-08-09,National Women's Day,National Women's Day
8,2015-09-24,Heritage Day,Heritage Day
9,2015-12-16,Day of Reconciliation,Day of Reconciliation
10,2015-12-25,Christmas Day,Christmas Day
11,2015-12-26,Day of Goodwill,St. Stephen's Day
