,date,localName,name
0,2016-01-01,Nytårsdag,New Year's Day
1,2016-03-24,Skærtorsdag,Maundy Thursday
2,2016-03-25,Langfredag,Good Friday
3,2016-03-27,Påskedag,Easter Sunday
4,2016-03-28,2. Påskedag,Easter Monday
5,2016-04-22,Store bededag,General Prayer Day
6,2016-05-05,Kristi Himmelfartsdag,Ascension Day
7,2016-05-06,Banklukkedag,Bank closing day
8,2016-05-15,Pinsedag,Pentecost
9,2016-05-16,2. Pinsedag,Whit Monday
10,2016-06-05,Grundlovsdag,Constitution Day
11,2016-12-24,Juleaftensdag,Christmas Eve
12,2016-12-25,Juledag / 1. juledag,Christmas Day
13,2016-12-26,2. juledag,St. Stephen's Day
14,2016-12-31,Nytårsaftensdag,New Year's Eve
