,date,localName,name
0,2016-01-01,Ano Novo,New Year's Day
1,2016-02-09,Carnaval,Carnival
2,2016-03-25,Sexta-feira Santa,Good Friday
3,2016-03-27,Domingo de Páscoa,Easter Day
4,2016-04-25,Dia da Liberdade,Freedom Day
5,2016-05-01,Dia do Trabalhador,Labour Day
6,2016-05-26,Corpo de Deus,Corpus Christi
7,2016-06-01,Dia dos Açores,Azores Day
8,2016-06-10,"Dia de Portugal, de Camões e das Comunidades Portuguesas",National Day
9,2016-07-01,Dia da Madeira,Madeira Day
10,2016-08-15,Assunção de Nossa Senhora,Assumption Day
11,2016-10-05,Implantação da República,Republic Day
12,2016-11-01,Dia de Todos-os-Santos,All Saints Day
13,2016-12-01,Restauração da Independência,Restoration of Independence
14,2016-12-08,Imaculada Conceição,Immaculate Conception
15,2016-12-25,Natal,Christmas Day
16,2016-12-26,Primeira Oitava,St. Stephen's Day
