,date,localName,name
0,2017-01-01,Año Nuevo,New Year's Day
1,2017-02-27,Carnaval,Carnival
2,2017-02-28,Carnaval,Carnival
3,2017-03-24,Día Nacional de la Memoria por la Verdad y la Justicia,Day of Remembrance for Truth and Justice
4,2017-04-02,Día del Veterano y de los Caídos en la Guerra de Malvinas,Day of the Veterans and Fallen of the Malvinas War
5,2017-04-14,Viernes Santo,Good Friday
6,2017-05-01,Día del Trabajador,Labour Day
7,2017-05-25,Día de la Revolución de Mayo,May Revolution
8,2017-06-17,Paso a la Inmortalidad del General Martín Miguel de Güemes,Anniversary of the Passing of General Martín Miguel de Güemes
9,2017-06-20,Paso a la Inmortalidad del General Manuel Belgrano,General Manuel Belgrano Memorial Day
10,2017-07-09,Día de la Independencia,Independence Day
11,2017-08-21,Paso a la Inmortalidad del General José de San Martín,General José de San Martín Memorial Day
12,2017-10-09,Día del Respeto a la Diversidad Cultural,Day of Respect for Cultural Diversity
13,2017-11-20,Día de la Soberanía Nacional,National Sovereignty Day
14,2017-12-08,Día de la Inmaculada Concepción de María,Immaculate Conception Day
15,2017-12-25,Navidad,Christmas Day
