,date,localName,name
0,2017-01-01,Neujahr,New Year's Day
1,2017-01-02,Berchtoldstag,St. Berchtold's Day
2,2017-01-06,Heilige Drei Könige,Epiphany
3,2017-03-19,Josefstag,Saint Joseph's Day
4,2017-04-14,Karfreitag,Good Friday
5,2017-04-17,Ostermontag,Easter Monday
6,2017-05-01,Tag der Arbeit,Labour Day
7,2017-05-25,Auffahrt,Ascension Day
8,2017-06-05,Pfingstmontag,Whit Monday
9,2017-06-15,Fronleichnam,Corpus Christi
10,2017-08-01,Bundesfeier,Swiss National Day
11,2017-08-15,Maria Himmelfahrt,Assumption of the Virgin Mary
12,2017-09-18,Jeûne Fédéral,Jeûne Fédéral
13,2017-11-01,Allerheiligen,All Saints' Day
14,2017-12-08,Mariä Empfängnis,Immaculate Conception
15,2017-12-25,Weihnachten,Christmas Day
16,2017-12-31,Silvester,Silvester
