,date,localName,name
0,2017-01-01,Den obnovy samostatného českého státu; Nový rok,New Year's Day
1,2017-04-14,Velký pátek,Good Friday
2,2017-04-17,Velikonoční pondělí,Easter Monday
3,2017-05-01,Svátek práce,Labour Day
4,2017-05-08,Den vítězství,Liberation Day
5,2017-07-05,Den slovanských věrozvěstů Cyrila a Metoděje,Saints Cyril and Methodius Day
6,2017-07-06,Den upálení mistra Jana Husa,Jan Hus Day
7,2017-09-28,Den české státnosti,St. Wenceslas Day
8,2017-10-28,Den vzniku samostatného československého státu,Independent Czechoslovak State Day
9,2017-11-17,Den boje za svobodu a demokracii a Mezinárodní den studentstva,Struggle for Freedom and Democracy Day
10,2017-12-24,Štědrý den,Christmas Eve
11,2017-12-25,1. svátek vánoční,Christmas Day
12,2017-12-26,2. svátek vánoční,St. Stephen's Day
