,date,localName,name
0,2017-01-01,Jour de l'an,New Year's Day
1,2017-04-14,Vendredi saint,Good Friday
2,2017-04-17,Lundi de Pâques,Easter Monday
3,2017-05-01,Fête du premier mai,Labour Day
4,2017-05-08,Fête de la Victoire,Victory in Europe Day
5,2017-05-22,Abolition de l'esclavage,Abolition of Slavery
6,2017-05-25,Jour de l'Ascension,Ascension Day
7,2017-05-27,Abolition of Slavery,Abolition de l'esclavage
8,2017-06-05,Lundi de Pentecôte,Whit Monday
9,2017-07-14,Fête nationale,Bastille Day
10,2017-08-15,L'Assomption de Marie,Assumption Day
11,2017-11-01,La Toussaint,All Saints' Day
12,2017-11-11,Armistice de 1918,Armistice Day
13,2017-12-25,Noël,Christmas Day
14,2017-12-26,Saint-Étienne,St. Stephen's Day
