,date,localName,name
0,2017-01-01,New Year's Day,New Year's Day
1,2017-01-02,New Year's Day,New Year's Day
2,2017-01-02,New Year's Day,New Year's Day
3,2017-01-03,New Year's Day,New Year's Day
4,2017-03-17,Saint Patrick's Day,Saint Patrick's Day
5,2017-04-14,Good Friday,Good Friday
6,2017-04-17,Easter Monday,Easter Monday
7,2017-05-01,Early May Bank Holiday,Early May Bank Holiday
8,2017-05-29,Spring Bank Holiday,Spring Bank Holiday
9,2017-07-12,Battle of the Boyne,Battle of the Boyne
10,2017-08-07,Summer Bank Holiday,Summer Bank Holiday
11,2017-08-28,Summer Bank Holiday,Summer Bank Holiday
12,2017-11-30,Saint Andrew's Day,Saint Andrew's Day
13,2017-12-25,Christmas Day,Christmas Day
14,2017-12-26,Boxing Day,St. Stephen's Day
