,date,localName,name
0,2017-01-01,Πρωτοχρονιά,New Year's Day
1,2017-01-06,Θεοφάνεια,Epiphany
2,2017-02-27,Καθαρά Δευτέρα,Clean Monday
3,2017-03-25,Ευαγγελισμός της Θεοτόκου,Annunciation
4,2017-03-25,Εικοστή Πέμπτη Μαρτίου,Independence Day
5,2017-04-14,Μεγάλη Παρασκευή,Good Friday
6,2017-04-16,Κυριακή του Πάσχα,Easter Sunday
7,2017-04-17,Δευτέρα του Πάσχα,Easter Monday
8,2017-05-01,Εργατική Πρωτομαγιά,Labour Day
9,2017-06-04,Πεντηκοστή',Pentecost
10,2017-06-05,Δευτέρα Πεντηκοστής,Whit Monday
11,2017-08-15,Κοίμηση της Θεοτόκου,Assumption Day
12,2017-10-28,Το Όχι,Ochi Day
13,2017-12-25,Χριστούγεννα,Christmas Day
14,2017-12-26,Σύναξις Υπεραγίας Θεοτόκου Μαρίας,St. Stephen's Day
