,date,localName,name
0,2017-01-02,New Year's Day,New Year's Day
1,2017-01-16,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day"
2,2017-01-20,Inauguration Day,Inauguration Day
3,2017-02-20,Washington's Birthday,Presidents' Day
4,2017-05-29,Memorial Day,Memorial Day
5,2017-07-04,Independence Day,Independence Day
6,2017-09-04,Labor Day,Labour Day
7,2017-10-09,Columbus Day,Columbus Day
8,2017-11-10,Veterans Day,Veterans Day
9,2017-11-23,Thanksgiving Day,Thanksgiving Day
10,2017-12-25,Christmas Day,Christmas Day
