,date,localName,name
0,2018-01-01,Første nyttårsdag,New Year's Day
1,2018-03-29,Skjærtorsdag,Maundy Thursday
2,2018-03-30,Langfredag,Good Friday
3,2018-04-01,Første påskedag,Easter Sunday
4,2018-04-02,Andre påskedag,Easter Monday
5,2018-05-01,Første mai,Labour Day
6,2018-05-10,Kristi himmelfartsdag,Ascension Day
7,2018-05-17,Syttende mai,Constitution Day
8,2018-05-20,Første pinsedag,Pentecost
9,2018-05-21,Andre pinsedag,Whit Monday
10,2018-12-25,Første juledag,Christmas Day
11,2018-12-26,Andre juledag,St. Stephen's Day
