,date,localName,name
0,2018-01-01,Año Nuevo,New Year's Day
1,2018-03-29,Jueves Santo,Holy Thursday
2,2018-03-30,Viernes Santo,Good Friday
3,2018-04-01,Domingo Santo,Easter Day
4,2018-05-01,Día del Trabajo,International Workers' Day
5,2018-06-29,Día de San Pedro y San Pablo,St. Peter and St. Paul
6,2018-07-28,Día de la Independencia,Independence Day
7,2018-07-29,Día de la Independencia,Independence Day
8,2018-08-30,Día de Santa Rosa de Lima,Santa Rosa de Lima
9,2018-10-08,Combate de Angamos,Battle of Angamos
10,2018-11-01,Día de Todos los Santos,All Saints Day
11,2018-12-08,Inmaculada Concepción,Immaculate Conception
12,2018-12-25,Navidad,Christmas Day
