,date,localName,name
0,2018-01-01,Новый год,New Year's Day
1,2018-01-02,Новогодние каникулы,New Year holiday
2,2018-01-03,Новогодние каникулы,New Year holiday
3,2018-01-04,Новогодние каникулы,New Year holiday
4,2018-01-05,Новогодние каникулы,New Year holiday
5,2018-01-06,Новогодние каникулы,New Year holiday
6,2018-01-07,Рождество Христово,Orthodox Christmas Day
7,2018-02-23,День защитника Отечества,Defender of the Fatherland Day
8,2018-03-08,Международный женский день,International Women's Day
9,2018-05-01,День труда,Labour Day
10,2018-05-09,День Победы,Victory Day
11,2018-06-12,День России,Russia Day
12,2018-11-04,День народного единства,Unity Day
