,date,localName,name
0,2018-01-01,Día de Año Nuevo,New Year's Day
1,2018-01-06,Día de Reyes,Epiphany
2,2018-01-14,Día de la Divina Pastora,Feast of the Divina Pastora
3,2018-01-15,Día del Maestro,Teacher's Day
4,2018-02-12,Día de la Juventud,Youth Day
5,2018-02-12,Carnaval,Carnival
6,2018-02-13,Carnaval,Carnival
7,2018-02-20,Dia de la Federacion,Federation Day
8,2018-03-08,Dia Internacional de la Mujer,International Women's Day
9,2018-03-19,Día de San José,St Joseph's Day
10,2018-03-21,Día del abolición de la esclavitud,Slavery Abolition Anniversary
11,2018-03-31,Aniversario del fundacion del San Cristóbal,"Foundation anniversary Day of San Cristóbal, Táchira"
12,2018-04-19,Diez y nueve de abril,Beginning of the Independence Movement
13,2018-05-01,Día del Trabajador,Labor Day
14,2018-05-03,Día del Cruz del Mayo,Fiesta de las Cruces
15,2018-05-13,Día de las Madres,Mother's Day
16,2018-06-17,Día de los Padres,Father's Day
17,2018-06-24,Día de San Juan Bautista y aniversario de la Batalla de Carabobo,Army Day
18,2018-06-27,Día del Periodista y aniversario de la instauración del Decreto de Instrucción pública gratuita y obligatoria,Journalists' Day
19,2018-07-05,Cinco de julio,Independence Day
20,2018-07-15,Dia del niño,Children's Day
21,2018-07-24,"Natalicio del Libertador, Dia de la Armada Nacional",Navy Day
22,2018-07-25,Aniversario del fundacion del Caracas,Caracas City Foundation Day
23,2018-08-03,Día de la Bandera,Flag Day
24,2018-09-08,"Día del Virgen del Valle, aparicion del Virgen del Coromoto",Birth of the Blessed Virgin Mary and feasts of the Virgen del Valle and Our Lady of Coromoto
25,2018-09-24,Día del Virgen de las Mercedes,Feast of the Our Lady of Mercy
26,2018-10-12,Día de la Resistencia Indígena,Day of Indigenous Resistance
27,2018-11-01,Día de Todos los Santos,All Saints' Day
28,2018-11-02,Día de los fieles difuntos,All Souls' Day
29,2018-11-17,Feria de la Chinita,Feria of La Chinita
30,2018-11-18,Feria de la Chinita,Feria of La Chinita
31,2018-11-19,Feria de la Chinita,Feria of La Chinita
32,2018-11-21,Día del estudiante universitario,University Students Day
33,2018-12-08,"Inmaculada Concepción, Dia de la Lealtad","Immaculate Conception, Loyalty Day"
34,2018-12-17,Aniversario de la muerte de Libertador Simon Bolivar,Simon Bolivar Memorial Day
35,2018-12-24,Nochebuena,Christmas Eve
36,2018-12-25,Navidad,Christmas Day
37,2018-12-31,Nochevieja,New Year's Eve
